,X,Y,OBJECTID_1,OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,STRZUSTAND,LINREFX,LINREFY
108010,13.345501614437563,52.580818384981214,114011,114011,11,0,12,12,2018,1,6,6,3,5,3,2,0,1,0,0,0,0,1,794370.9556,5834514.9129
108016,13.214699622834505,52.42753172369538,114017,114017,11,0,6,6,2018,3,13,7,3,5,2,0,0,1,0,0,0,0,0,786510.6998,5816950.0101
108017,13.41593143444599,52.52219952310654,114018,114018,11,0,1,1,2018,11,18,2,3,3,6,2,1,1,0,0,0,0,0,799538.9712,5828289.7341
108018,13.35213303356048,52.480103142272455,114019,114019,11,0,7,7,2018,8,19,5,3,5,2,0,1,1,0,0,0,0,0,795496.1340000001,5823347.6
108020,13.3946238738104,52.51731745149653,114021,114021,11,0,1,1,2018,10,22,6,3,1,5,2,1,1,0,0,0,0,0,798127.4824,5827658.7859
108021,13.429042612817351,52.51842752711581,114022,114022,11,0,2,2,2018,8,16,3,3,2,6,0,0,1,0,0,0,0,0,800453.6299,5827925.0483
108022,13.465114408253946,52.51475407429964,114023,114023,11,0,2,2,2018,4,19,2,2,3,6,0,1,0,0,0,0,0,0,802924.6525,5827667.7047
108023,13.438901392193545,52.618416198779876,114024,114024,11,0,3,3,2018,4,16,4,3,2,6,0,0,1,0,0,0,0,0,800437.0032,5839079.544
108024,13.556285309483151,52.50882798673026,114025,114025,11,0,10,10,2018,5,14,4,2,5,3,0,1,1,0,0,0,0,0,809148.2029,5827396.0603
108025,13.387511120290256,52.43898115941398,114026,114026,11,0,7,7,2018,11,8,6,3,5,3,0,0,1,0,0,0,1,0,798175.052,5818922.5119
108026,13.15736972620524,52.4192525188716,114027,114027,11,0,6,6,2018,12,9,3,3,0,3,0,0,1,0,1,0,0,1,782668.2623,5815803.7551
108027,13.387265618807962,52.440164383649034,114028,114028,11,0,7,7,2018,9,14,5,3,2,6,0,0,1,0,1,0,0,0,798150.3777,5819053.0098
108028,13.28861272773075,52.494079035278126,114029,114029,11,0,4,4,2018,8,7,6,3,2,6,0,0,1,0,0,0,1,0,791093.0025,5824642.7388
108029,13.375949159389913,52.429860144032055,114030,114030,11,0,7,7,2018,6,11,6,3,2,6,0,0,1,0,0,0,0,0,797451.189,5817861.029
108030,13.453491296337258,52.5150247503251,114031,114031,11,0,2,2,2018,7,22,4,3,0,1,2,0,0,0,1,0,0,0,802134.6659,5827649.0167
108031,13.365258673011287,52.55807966011874,114032,114032,11,0,1,1,2018,5,7,4,3,5,3,0,0,1,0,0,0,0,0,795861.8559999999,5832068.4398
108032,13.432450971922266,52.62253124888798,114033,114033,11,0,3,3,2018,3,18,6,3,0,3,0,0,1,0,0,0,0,0,799972.4783,5839510.0223
108033,13.447294115636144,52.5025952473749,114034,114034,11,0,2,2,2018,11,14,3,3,6,7,0,0,0,1,0,0,1,0,801799.709,5826241.5819
108034,13.442306390700985,52.61537871887364,114035,114035,11,0,3,3,2018,6,11,1,3,9,1,0,0,1,0,0,0,0,1,800688.1818,5838756.1527
108035,13.302147355757375,52.48661055963072,114036,114036,11,0,4,4,2018,12,23,5,2,8,1,2,0,1,0,0,0,0,1,792060.7667,5823867.3223
108036,13.330582105839698,52.601225432295045,114037,114037,11,0,12,12,2018,10,16,7,3,6,7,0,0,1,1,0,0,0,0,793224.3513,5836722.3094
108037,13.447174651381445,52.546780117715095,114038,114038,11,0,3,3,2018,8,17,5,3,2,6,0,0,1,0,0,0,0,0,801488.4872,5831152.0345
108038,13.360697759227154,52.490886837589656,114039,114039,11,0,7,7,2018,4,21,4,3,2,6,2,1,1,0,0,0,0,0,796004.8627,5824581.3121
108039,13.361783991288931,52.413642016838644,114040,114040,11,0,7,7,2018,3,17,1,3,5,2,0,1,1,0,0,0,0,0,796597.7717,5816000.1381
108040,13.467903602650981,52.5143218743775,114041,114041,11,0,2,2,2018,5,14,5,3,2,6,0,0,1,0,1,0,0,0,803116.7571,5827631.3908
108041,13.364478750291726,52.56224429487954,114042,114042,11,0,12,12,2018,10,6,5,3,2,6,2,0,1,0,0,0,0,1,795780.9711,5832528.1333
108042,13.453784342952595,52.51576429781173,114043,114043,11,0,2,2,2018,3,20,6,3,5,2,2,0,1,0,1,0,0,0,802149.4559999999,5827732.442000001
108043,13.394567519797684,52.46733793423554,114044,114044,11,0,7,7,2018,11,6,3,3,3,6,1,0,0,0,0,1,1,0,798462.3198,5822103.4605
108044,13.365501486734262,52.55797125889338,114045,114045,11,0,1,1,2018,9,9,1,3,5,3,0,0,1,0,0,0,0,0,795879.035,5832057.3881
108045,13.386544288702787,52.44208694259732,114046,114046,11,0,7,7,2018,8,17,6,3,5,3,0,1,1,0,0,0,0,0,798088.3878,5819263.7174
108046,13.3645877922925,52.561623673465796,114047,114047,11,0,12,12,2018,6,12,2,3,2,6,0,0,1,0,0,0,0,0,795792.5376,5832459.5994
108047,13.586160727312501,52.50502845594122,114048,114048,11,0,10,10,2018,7,13,2,2,2,6,0,0,1,0,0,0,0,0,811201.0308,5827102.3043
108048,13.27147603867112,52.438270303407485,114049,114049,11,0,6,6,2018,6,10,3,3,5,2,0,0,1,0,0,0,0,0,790297.8072,5818370.4697
108049,13.589359497783553,52.50498403029098,114050,114050,11,0,10,10,2018,8,10,5,3,0,1,0,0,0,0,1,0,0,0,811418.282,5827111.1783
108050,13.446792252938044,52.51660581712222,114051,114051,11,0,2,2,2018,5,18,5,3,6,4,0,1,0,1,0,0,0,0,801669.5815,5827796.6929
108051,13.43240247637166,52.46217858107954,114052,114052,11,0,8,8,2018,4,6,5,3,2,6,0,0,1,0,0,0,0,0,801065.8538,5821687.2166
108052,13.365011206015144,52.56054058865439,114053,114053,11,0,12,12,2018,12,8,3,3,5,2,0,0,1,0,0,0,0,1,795828.5144,5832340.9537
108053,13.489883499276123,52.46998778426251,114054,114054,11,0,9,9,2018,9,12,7,3,3,6,0,0,1,0,0,0,0,0,804914.0868,5822796.5764
108054,13.405147249291675,52.52007605874911,114055,114055,11,0,1,1,2018,9,4,1,2,9,1,1,0,1,0,0,0,0,0,798822.2693,5828008.9641
108055,13.368027108240426,52.50574014439538,114056,114056,11,0,1,1,2018,7,9,6,3,0,1,0,0,0,0,1,0,0,0,796402.0862,5826262.3397
108056,13.453418963092243,52.518109402345246,114057,114057,11,0,2,2,2018,7,15,7,3,9,1,0,1,0,0,0,0,0,0,802108.5723,5827991.557999999
108057,13.411966548361304,52.54104049229555,114058,114058,11,0,3,3,2018,3,8,4,3,2,6,0,0,1,0,0,0,0,1,799141.926,5830367.385
108058,13.448599241979844,52.50502827276418,114059,114059,11,0,2,2,2018,5,18,6,3,0,6,0,1,0,1,0,0,0,0,801871.5387,5826517.4645
108059,13.361786459859355,52.41364488855672,114060,114060,11,0,7,7,2018,10,13,5,3,5,3,0,1,1,0,0,0,0,0,796597.9202,5816000.4674
108060,13.453784342952595,52.51576429781173,114061,114061,11,0,2,2,2018,3,20,6,3,5,2,2,0,1,0,0,0,0,0,802149.4559999999,5827732.442000001
108061,13.401209942384513,52.46504191777403,114062,114062,11,0,7,7,2018,11,12,6,2,3,6,0,0,1,0,0,1,0,1,798928.7943,5821875.7654
108062,13.386013133739931,52.4439683071373,114063,114063,11,0,7,7,2018,9,13,2,3,5,2,0,0,1,0,1,0,0,0,798039.5966,5819470.6323
108063,13.152693333991332,52.4188502148114,114064,114064,11,0,6,6,2018,8,18,7,3,2,6,0,0,1,0,1,0,0,0,782353.0208,5815740.7394
108064,13.404716871828935,52.56780220316224,114065,114065,11,0,3,3,2018,6,22,3,3,9,1,2,0,1,0,0,0,0,0,798468.7261,5833311.8166
108065,13.411516692728267,52.518651424739545,114066,114066,11,0,1,1,2018,10,16,3,3,6,2,0,0,1,1,0,0,0,0,799263.811,5827877.04
108066,13.454922008055954,52.46240091308909,114067,114067,11,0,8,8,2018,6,13,5,3,2,6,0,0,1,0,0,0,0,0,802593.1455,5821806.1373
108067,13.458953611118472,52.4908582626146,114068,114068,11,0,9,9,2018,8,15,6,3,5,2,0,0,1,0,0,0,0,0,802671.2263,5824985.9386
108068,13.407093083740392,52.46191667248481,114069,114069,11,0,7,7,2018,4,10,7,3,0,7,0,0,1,0,0,0,0,0,799349.4005,5821552.7967
108069,13.487525825897169,52.51248961169553,114070,114070,11,0,11,11,2018,4,19,7,3,2,6,0,0,1,0,0,0,0,0,804459.9659999999,5827510.425
108070,13.43630978493822,52.62002077941216,114071,114071,11,0,3,3,2018,6,12,6,3,2,6,0,0,1,0,0,0,0,0,800250.6938,5839247.0768
108071,13.424289824278455,52.53927808015483,114072,114072,11,0,3,3,2018,12,18,6,3,5,7,2,1,1,0,0,0,0,1,799989.0712,5830222.7179
108072,13.422733014246669,52.52023483279915,114073,114073,11,0,1,1,2018,9,17,2,3,5,3,1,1,0,0,0,0,0,1,800013.4969,5828099.6477
108073,13.373464639401282,52.509165616060436,114074,114074,11,0,1,1,2018,9,18,3,3,3,6,0,0,1,0,1,0,0,0,796747.7719,5826665.4395
108074,13.265814963548427,52.50896847279426,114075,114075,11,0,4,4,2018,6,15,3,3,1,5,0,1,1,0,0,0,0,0,789448.3906,5826205.9698
108075,13.280664652387452,52.50175346139653,114076,114076,11,0,4,4,2018,7,23,7,2,3,7,2,0,1,0,1,0,0,0,790503.1269,5825463.7168
108076,13.391990897339607,52.468606447069284,114077,114077,11,0,7,7,2018,5,12,1,3,2,6,0,0,1,0,0,0,0,0,798278.8266,5822233.7961
108077,13.3878028427889,52.493291646034926,114078,114078,11,0,2,2,2018,3,8,6,3,6,6,0,1,0,1,0,0,0,0,797827.56,5824960.1885
108078,13.448654659049726,52.505118498575534,114079,114079,11,0,2,2,2018,11,19,7,3,6,7,2,1,0,1,0,0,0,0,801874.6782,5826527.7247
108080,13.293519333897448,52.49240641294261,114081,114081,11,0,4,4,2018,10,13,4,3,2,6,0,0,1,0,0,0,0,0,791436.9531,5824476.6388
108081,13.385514417840268,52.470091903413184,114082,114082,11,0,7,7,2018,8,16,2,3,6,2,0,0,1,1,0,0,0,0,797829.1622,5822372.143999999
108082,13.281454451185265,52.50453704003696,114083,114083,11,0,4,4,2018,4,17,1,3,2,6,0,0,1,0,0,0,0,0,790538.3225,5825776.2983
108083,13.402930752447837,52.46393491112381,114084,114084,11,0,7,7,2018,4,1,2,3,9,1,2,0,1,0,0,0,0,1,799053.1242,5821759.8563
108084,13.488108637582144,52.512429676459035,114085,114085,11,0,11,11,2018,5,10,2,2,2,6,0,0,1,0,0,0,0,0,804499.9012,5827506.2249
108085,13.391108358268516,52.43193988930753,114086,114086,11,0,7,7,2018,10,21,4,3,5,2,2,0,1,0,0,0,0,0,798467.0339,5818154.762999999
108086,13.364725549839626,52.56209019211298,114087,114087,11,0,12,12,2018,3,17,6,3,5,3,1,1,1,0,0,0,0,0,795798.7263,5832512.017999999
108087,13.411973653136881,52.54113816410248,114088,114088,11,0,3,3,2018,12,5,1,3,6,4,2,1,0,1,0,0,0,1,799141.7426,5830378.2704
108088,13.365312974373598,52.47303790950996,114089,114089,11,0,7,7,2018,9,18,4,2,2,1,0,0,1,0,0,0,0,0,796438.1066,5822616.382999999
108089,13.423086291105195,52.52752741532012,114090,114090,11,0,3,3,2018,8,20,5,3,3,6,1,1,1,0,0,0,0,1,799987.6921,5828911.663
108090,13.191299869732529,52.51418552905789,114091,114091,11,0,5,5,2018,6,12,5,2,6,4,0,0,1,1,0,0,0,0,784360.9621,5826489.3965
108091,13.368846225354142,52.541193177472344,114092,114092,11,0,1,1,2018,7,16,3,3,0,7,0,1,0,0,0,0,1,0,796218.7227,5830206.2627
108092,13.385714873302641,52.4681878140696,114093,114093,11,0,7,7,2018,3,16,6,3,2,6,0,0,1,0,0,0,0,0,797855.6406,5822161.3367
108093,13.281675193301725,52.52168875696525,114094,114094,11,0,4,4,2018,11,17,7,3,2,6,2,0,1,0,0,0,0,0,790440.0364,5827683.6332
108094,13.413569047606765,52.55860859223707,114095,114095,11,0,3,3,2018,6,16,5,2,0,2,0,1,1,0,0,0,0,0,799130.8742,5832326.6804
108095,13.554297949512112,52.55756529218523,114096,114096,11,0,10,10,2018,5,12,3,2,2,6,0,0,1,0,1,0,0,0,808670.9692,5832804.2705
108096,13.360220752912976,52.57180971212134,114097,114097,11,0,12,12,2018,12,20,1,3,2,6,2,0,1,0,0,0,0,1,795428.1807,5833573.8528
108097,13.313866131963627,52.51215834479929,114098,114098,11,0,4,4,2018,10,14,5,2,3,6,0,0,1,0,1,0,0,0,792685.9923,5826754.4865
108098,13.398221427995635,52.57101300829055,114099,114099,11,0,3,3,2018,3,19,6,2,0,1,2,1,0,0,0,0,0,0,798007.0171,5833641.8026
108099,13.389143894557428,52.497994421833894,114100,114100,11,0,2,2,2018,7,15,2,3,5,3,0,0,1,0,0,0,0,0,797886.7116,5825488.4296
108100,13.300658016389944,52.48743993328473,114101,114101,11,0,4,4,2018,4,10,3,3,3,6,0,0,1,0,0,0,1,0,791954.2098,5823953.4787
108101,13.271081304562214,52.509277453840745,114102,114102,11,0,4,4,2018,7,15,7,3,2,2,0,0,1,0,0,0,0,0,789803.5206,5826261.4653
108102,13.170814668230513,52.42079450041376,114103,114103,11,0,6,6,2018,3,13,4,3,3,3,0,0,1,0,0,0,1,0,783572.0924,5816027.8752
108103,13.466734226119751,52.55930623386864,114104,114104,11,0,3,3,2018,5,17,3,3,0,1,0,0,0,0,1,0,0,0,802727.4498,5832626.2566
108104,13.146628310739903,52.49389637775833,114105,114105,11,0,5,5,2018,10,13,2,3,4,6,0,1,0,0,0,0,0,0,781461.3053,5824058.9009
108105,13.286013123672733,52.51093713969854,114106,114106,11,0,4,4,2018,3,8,5,3,2,6,0,0,1,0,0,0,0,0,790805.2211,5826506.0558
108106,13.461882623797905,52.515074513920965,114107,114107,11,0,2,2,2018,11,17,7,3,2,6,2,0,1,0,0,0,0,0,802703.3102,5827689.7461
108107,13.36440379037283,52.50159519529095,114108,114108,11,0,1,1,2018,9,17,6,3,6,6,0,1,0,1,0,0,0,0,796184.2387,5825786.7471
108108,13.432200142532025,52.53526723384572,114109,114109,11,0,3,3,2018,8,18,4,3,2,2,0,1,0,0,1,0,0,0,800552.5785,5829809.8809
108109,13.359633163089006,52.489579614394074,114110,114110,11,0,7,7,2018,6,14,7,2,2,6,0,1,1,0,0,0,1,0,795941.4208,5824431.6473
108110,13.456165163221462,52.46460633493189,114111,114111,11,0,8,8,2018,6,14,2,3,3,6,0,0,1,0,1,0,0,0,802662.3928,5822056.472999999
108111,13.340194058718545,52.51375869639902,114112,114112,11,0,1,1,2018,8,9,3,3,2,6,0,0,1,0,1,0,0,0,794460.6836,5827039.5589
108112,13.476584197514573,52.5134504001553,114113,114113,11,0,11,11,2018,5,11,5,3,2,6,0,0,1,0,0,0,1,0,803711.3818,5827571.0626
108113,13.414106124263984,52.55074910302804,114114,114114,11,0,3,3,2018,4,20,3,3,6,4,2,1,0,1,0,0,0,0,799220.7936,5831455.3507
108114,13.413461501300961,52.549070732253426,114115,114115,11,0,3,3,2018,12,9,6,3,3,6,0,1,0,0,0,0,0,0,799188.5493,5831266.1283
108115,13.44850874839304,52.504880936931855,114116,114116,11,0,2,2,2018,9,18,5,3,6,4,1,1,0,1,0,0,0,0,801866.412,5826500.71
108116,13.273204852723616,52.49879762451848,114117,114117,11,0,4,4,2018,9,14,6,2,2,6,0,0,1,0,0,0,0,0,790016.5952,5825105.1463
108117,13.610453995101741,52.50479011844834,114118,114118,11,0,10,10,2018,7,16,5,3,0,2,0,1,1,0,0,0,0,0,812850.2596,5827180.9495
108118,13.453740268011508,52.515938626844466,114119,114119,11,0,2,2,2018,7,9,5,3,5,2,0,1,1,0,0,0,0,1,802145.2699,5827751.6331
108119,13.382562781988733,52.4393874065913,114120,114120,11,0,7,7,2018,5,10,5,3,6,2,0,0,1,1,0,0,0,0,797836.1891,5818947.2334
108120,13.412187348868242,52.46101446259714,114121,114121,11,0,7,7,2018,3,7,5,3,0,1,0,0,1,0,0,0,0,0,799701.3843,5821473.6674
108121,13.436956492891008,52.539736041568965,114122,114122,11,0,3,3,2018,11,6,4,3,5,3,2,1,1,0,0,0,0,1,800844.3521,5830326.4149
108122,13.55342162318951,52.50934489032323,114123,114123,11,0,10,10,2018,8,13,6,3,5,2,0,1,1,0,0,0,0,0,808950.3753,5827441.2343
108123,13.398888673232467,52.41887535923089,114124,114124,11,0,7,7,2018,7,17,3,3,2,6,0,0,1,0,0,0,0,0,799084.1325,5816734.8842
108124,13.448265252848769,52.54721870763194,114125,114125,11,0,3,3,2018,4,15,4,3,3,6,0,0,1,0,1,0,0,0,801559.3733,5831205.3449
108125,13.353902501769486,52.48507585405874,114126,114126,11,0,7,7,2018,7,14,2,3,3,6,0,1,1,0,0,0,0,0,795582.8375,5823907.5612
108126,13.437798760487926,52.53406219417111,114127,114127,11,0,3,3,2018,3,12,6,3,2,6,0,0,1,0,0,0,0,1,800940.2797,5829699.3053
108127,13.281915889695576,52.50619145730854,114128,114128,11,0,4,4,2018,5,11,4,2,0,7,0,0,1,0,0,0,0,0,790558.6963,5825962.0489
108128,13.477285599393472,52.513383540720206,114129,114129,11,0,11,11,2018,10,18,3,3,5,3,2,1,1,0,0,0,0,1,803759.4045,5827566.5865
108129,13.380374026917524,52.437823484980704,114130,114130,11,0,7,7,2018,3,15,5,3,2,2,0,0,1,0,0,1,0,0,797698.0725,5818764.3774
108130,13.496961821269714,52.434598219593255,114131,114131,11,0,9,9,2018,11,16,2,3,2,6,2,0,1,0,0,0,0,0,805639.7966,5818893.2139
108131,13.367299355180966,52.55178825880064,114132,114132,11,0,1,1,2018,9,3,7,2,9,1,2,0,1,0,0,0,1,0,796042.4969,5831377.5378
108132,13.439331979862036,52.51720856911686,114133,114133,11,0,2,2,2018,8,18,6,3,8,1,0,0,1,0,0,0,0,0,801159.6146,5827832.4967
108133,13.430941761820776,52.51808399641029,114134,114134,11,0,2,2,2018,6,18,7,3,2,6,0,0,1,0,0,0,0,0,800584.7437,5827894.7825
108134,13.364380268885428,52.56387010437578,114135,114135,11,0,12,12,2018,6,19,7,3,0,1,0,0,0,0,1,0,0,0,795763.3494,5832708.4363
108135,13.477426775928585,52.513515297412674,114136,114136,11,0,11,11,2018,6,17,2,3,5,2,0,1,1,0,0,0,0,0,803768.0676,5827581.8253
108136,13.447960746425323,52.502409781716935,114137,114137,11,0,2,2,2018,8,7,4,2,6,4,0,0,1,1,0,0,0,0,801846.1961,5826223.7585
108137,13.378504958899699,52.50963693346082,114138,114138,11,0,1,1,2018,5,8,5,3,2,4,0,1,0,1,0,0,0,0,797086.4113,5826738.5805
108138,13.281856237967453,52.50993010312122,114139,114139,11,0,4,4,2018,4,9,4,3,3,2,0,0,1,0,1,0,0,0,790529.9636,5826377.3659
108139,13.281059407157592,52.49900141688521,114140,114140,11,0,4,4,2018,12,14,7,3,2,6,0,0,1,0,0,0,0,0,790548.0705,5825159.4123
108140,13.467407031928218,52.51437131349425,114141,114141,11,0,2,2,2018,9,9,6,3,5,2,0,1,1,0,0,0,0,0,803082.7453,5827634.7981
108141,13.397249287364822,52.51086976087839,114142,114142,11,0,1,1,2018,9,20,7,3,1,5,2,1,1,0,0,0,1,0,798349.2259,5826953.001
108142,13.398354075027108,52.57105112340251,114143,114143,11,0,3,3,2018,7,21,5,3,5,3,2,1,1,0,0,0,0,0,798015.7414,5833646.5877
108143,13.465061828962035,52.514759353004294,114144,114144,11,0,2,2,2018,3,10,3,3,6,4,0,1,0,1,0,0,0,0,802921.0509,5827668.0705
108144,13.401457009630379,52.58052142199638,114145,114145,11,0,3,3,2018,7,10,6,3,2,6,0,0,1,0,1,0,0,0,798161.5328,5834712.0299
108145,13.370572471123236,52.53997479490778,114146,114146,11,0,1,1,2018,3,13,3,3,3,6,0,0,1,0,0,0,0,0,796343.923,5830077.937000001
108146,13.423968988279777,52.53910743832468,114147,114147,11,0,3,3,2018,5,14,6,3,5,2,0,1,1,0,0,0,0,0,799968.493,5830202.4163
108147,13.362587794822028,52.499146385881936,114148,114148,11,0,7,7,2018,2,16,4,3,6,4,0,0,1,1,0,0,0,0,796077.5343,5825507.1082
108148,13.399927018801401,52.51104054305966,114149,114149,11,0,1,1,2018,11,19,5,3,2,6,2,0,1,0,0,0,0,0,798529.6556,5826983.0662
108149,13.283845117887948,52.52984076893093,114150,114150,11,0,4,4,2018,9,5,2,3,2,6,0,0,1,0,0,0,0,0,790533.2912,5828598.4883
108150,13.455517019760812,52.46162660350018,114151,114151,11,0,9,9,2018,8,8,7,3,3,6,0,0,1,0,0,1,0,0,802638.8571,5821722.5725
108151,13.316326961581572,52.51212915985235,114152,114152,11,0,4,4,2018,3,9,2,3,0,1,0,1,0,0,0,0,0,2,792853.0661,5826761.2341
108152,13.29857166926111,52.53414286825578,114153,114153,11,0,4,4,2018,10,10,3,3,2,6,0,0,1,0,0,0,0,0,791503.0404,5829136.1242
108153,13.453695223788214,52.51606763875021,114154,114154,11,0,2,2,2018,8,14,5,3,2,6,0,0,1,0,0,0,0,0,802141.3294,5827765.7834
108154,13.307705919631395,52.51175511157114,114155,114155,11,0,4,4,2018,4,14,6,3,5,2,0,0,1,0,0,0,0,0,792270.9198,5826684.6799
108155,13.396045595189774,52.42328253833303,114156,114156,11,0,7,7,2018,4,18,6,2,5,2,0,0,1,0,1,0,0,0,798861.0826,5817212.9532
108156,13.388964681556551,52.4975457504621,114157,114157,11,0,2,2,2018,6,17,6,3,5,2,0,1,1,0,0,0,0,0,797877.5913,5825437.8206
108157,13.291500858081578,52.49340750211189,114158,114158,11,0,4,4,2018,12,22,6,2,0,1,2,0,0,0,1,0,0,1,791293.3849,5824579.7572
108158,13.405173610353668,52.5203198526669,114159,114159,11,0,1,1,2018,9,17,1,3,2,6,0,0,1,0,1,0,0,1,798822.4,5828036.1704
108159,13.374524888591775,52.502571264064805,114160,114160,11,0,2,2,2018,9,18,3,3,2,6,0,0,1,0,1,0,0,0,796864.1622,5825936.8526
108160,13.432307900840245,52.535360067382705,114161,114161,11,0,3,3,2018,6,17,2,3,5,3,0,1,0,0,0,0,0,0,800559.2471,5829820.6483
108161,13.452478430583033,52.518408540996134,114162,114162,11,0,2,2,2018,7,10,6,3,5,2,0,1,1,0,0,0,0,0,802042.748,5828020.865
108162,13.24237077168767,52.5075343077174,114163,114163,11,0,4,4,2018,5,19,7,3,2,6,0,0,1,0,0,0,0,0,787867.772,5825952.7146
108163,13.444564931395044,52.545593234299815,114164,114164,11,0,3,3,2018,2,17,4,3,6,4,1,0,1,1,0,0,0,0,801319.7984,5831009.2029
108164,13.554507765419743,52.55781022261062,114165,114165,11,0,10,10,2018,11,18,6,2,6,2,2,0,1,1,0,0,0,0,808683.4601,5832832.3913
108166,13.496882645557209,52.46522384244338,114167,114167,11,0,9,9,2018,10,16,3,3,0,2,0,0,1,0,0,0,1,0,805422.1785,5822296.7037
108167,13.438811679242749,52.517261582230475,114168,114168,11,0,2,2,2018,8,15,2,2,4,7,0,1,0,0,0,0,0,0,801123.9734,5827836.2156
108168,13.382787664440315,52.439425381916415,114169,114169,11,0,7,7,2018,4,9,1,3,3,6,0,0,1,0,0,0,0,0,797851.2078,5818952.3823
108169,13.445718380796269,52.546119426545964,114170,114170,11,0,3,3,2018,4,18,1,3,6,7,0,1,0,1,0,0,0,1,801394.3459999999,5831072.5102
108170,13.300315662146962,52.54784545706403,114171,114171,11,0,12,12,2018,5,7,2,3,3,6,0,0,1,0,0,1,0,0,791530.338,5830666.24
108171,13.362549752068048,52.56739788522655,114172,114172,11,0,12,12,2018,10,17,3,3,6,4,1,0,1,1,0,0,0,0,795615.6097,5833093.0342
108172,13.248567478976616,52.50791945071642,114173,114173,11,0,4,4,2018,2,14,4,3,2,6,0,0,1,0,0,0,0,0,788285.5286,5826020.2787
108173,13.458854261041315,52.515238059889896,114174,114174,11,0,2,2,2018,11,23,6,3,2,6,2,0,1,0,0,0,0,1,802496.8431,5827695.2129
108174,13.365935028063447,52.55459006756669,114175,114175,11,0,1,1,2018,9,8,3,3,2,6,0,1,1,0,0,0,0,0,795931.1848,5831683.3523
108175,13.260564456239841,52.43498453208795,114176,114176,11,0,6,6,2018,8,12,4,2,5,2,0,1,1,0,0,0,0,0,789578.155,5817961.4207
108176,13.404768031782668,52.51988375821705,114177,114177,11,0,1,1,2018,6,20,4,3,0,3,0,1,0,0,1,0,0,0,798797.8649,5827986.0187
108177,13.363684514714748,52.565204930974325,114178,114178,11,0,12,12,2018,7,17,3,2,6,4,0,0,1,1,0,0,0,0,795707.234,5832853.9455
108178,13.448648081585207,52.50222725613902,114179,114179,11,0,2,2,2018,6,9,5,2,6,4,0,0,1,1,0,0,0,0,801894.0677,5826206.348999999
108179,13.515249791197474,52.45270440060778,114180,114180,11,0,9,9,2018,5,13,2,3,5,3,0,0,1,0,1,0,0,0,806756.1107,5820983.1809
108180,13.314704850316847,52.512021443869656,114181,114181,11,0,4,4,2018,4,10,1,2,5,2,0,0,1,0,0,0,0,0,792743.7804,5826742.6746
108181,13.305083450754488,52.51158410910679,114182,114182,11,0,4,4,2018,12,22,7,2,6,2,2,0,1,1,0,0,0,1,792094.212,5826655.0464
108182,13.323222838435932,52.512567408746136,114183,114183,11,0,4,4,2018,10,13,3,3,6,7,0,1,0,1,0,0,0,0,793317.7829999999,5826837.9749
108183,13.35612777066205,52.47354490136826,114184,114184,11,0,7,7,2018,2,10,4,3,5,3,0,0,1,0,0,1,0,0,795811.2682,5822635.0313
108184,13.389262192798862,52.497497044938726,114185,114185,11,0,2,2,2018,7,11,2,3,5,2,0,1,0,0,0,0,1,0,797898.1027,5825433.636
108185,13.238236734631627,52.43296739000146,114186,114186,11,0,6,6,2018,4,15,3,3,1,1,0,0,1,0,0,0,0,0,788074.4897,5817647.8727
108186,13.477493905233114,52.5135087414869,114187,114187,11,0,11,11,2018,7,8,5,3,2,2,0,1,1,0,0,0,0,0,803772.6648,5827581.3795
108187,13.551789099552323,52.509180219635184,114188,114188,11,0,10,10,2018,3,7,3,3,4,6,0,1,0,0,0,0,0,1,808840.8251,5827415.9382
108188,13.41232217790756,52.54109314173828,114189,114189,11,0,3,3,2018,5,8,3,2,5,2,0,1,1,0,0,0,0,0,799165.6677,5830374.7129
108189,13.285076849177964,52.509338703373906,114190,114190,11,0,4,4,2018,10,15,2,3,2,6,0,0,1,0,0,0,1,1,790752.2888,5826324.6114
108190,13.297268719535339,52.51107108569347,114191,114191,11,0,4,4,2018,2,9,4,3,5,2,0,1,1,0,0,0,0,0,791567.6516,5826566.396000001
108191,13.420084625380545,52.52105394726673,114192,114192,11,0,1,1,2018,11,8,6,3,0,2,0,1,1,0,0,0,0,0,799828.3532,5828179.6717
108192,13.369339592684588,52.53931944260567,114193,114193,11,0,1,1,2018,9,22,5,3,3,6,2,0,1,0,0,0,0,0,796264.7887,5830000.0272
108193,13.281480973944031,52.52280048156725,114194,114194,11,0,4,4,2018,8,15,4,3,2,6,0,0,0,0,1,0,1,0,790419.5266,5827806.4212
108194,13.431594813676133,52.624546117953436,114195,114195,11,0,3,3,2018,6,16,6,2,0,3,0,0,1,0,1,0,0,0,799900.7748,5839730.4019
108195,13.460599877182887,52.494008545358675,114196,114196,11,0,9,9,2018,6,4,7,3,5,3,1,1,1,0,0,0,0,0,802761.2476,5825342.9864
108196,13.432435786800694,52.53626637552617,114197,114197,11,0,3,3,2018,8,19,2,3,2,6,1,0,1,0,0,0,0,0,800561.7169,5829921.9143
